id,name,producer,nation,local1,varieties1,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml
137419,"San Pedro, Gato Negro Carmenere",  San Pedro, Chile,  Central Valley,Carmenere,Red,Table,13~14,17~19,SWEET2,ACIDITY4,BODY3,TANNIN3,19.0,2018.0,750.0
137420,"San Pedro, Gato Negro Chardonnay",  San Pedro, Chile,  Central Valley,Chardonnay,White,Table,12~13,8~10,SWEET2,ACIDITY3,BODY2,TANNIN1,19.0,2018.0,750.0
137421,"San Pedro, Gato Negro Sauvignon Blanc",  San Pedro, Chile,  Central Valley,Sauvignon blanc,White,Table,11~12,10~12,SWEET2,ACIDITY4,BODY2,TANNIN1,9.12,2017.0,375.0
137423,"San Pedro, Reserva Late Harvest",  San Pedro, Chile,  Curico Valley,Riesling,White,Dessert,12,6~8,SWEET5,ACIDITY1,BODY4,TANNIN1,16.72,2012.0,375.0
137425,"35 South, Reserva Carmenere",  San Pedro, Chile,  Central Valley,Carmenere,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,20.52,2017.0,750.0
137435,"Trapiche, Astica Cabernet Sauvignon", Trapiche, Argentina, Mendoza,Cabernet Sauvignon,Red,Table,12.5,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,15.2,2018.0,750.0
137436,"Trapiche, Astica Merlot Malbec", Trapiche, Argentina, Mendoza,Merlot,Red,Table,12,16~18,SWEET1,ACIDITY3,BODY3,TANNIN3,15.2,2018.0,750.0
137437,"Trapiche, Broquel Cabernet Sauvignon", Trapiche, Argentina, Mendoza,Cabernet Sauvignon,Red,Table,14,16~18,SWEET1,ACIDITY3,BODY4,TANNIN4,38.01,2016.0,750.0
137438,"Trapiche, Broquel Malbec", Trapiche, Argentina, Mendoza,Malbec,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN3,38.01,2016.0,750.0
137439,"Trapiche, Iscay Malbec Cabernet Franc", Trapiche, Argentina, Mendoza,Malbec,Red,Table,14~15,16~18,SWEET1,ACIDITY3,BODY4,TANNIN5,106.42,2013.0,750.0
